GVKEY,TGT_START,GROUND_TRUTH,PREDICTIONS
1440.0,2008-03-01T00:00:00.000000000,"[1.5434772968292236, 1.3894624710083008, 2.1595370769500732, 0.7734025120735168]","[0.793945848941803, 0.841835618019104, 0.9061429500579834, 0.9403299689292908]"
1440.0,2008-06-01T00:00:00.000000000,"[1.3894624710083008, 2.1595370769500732, 0.7734025120735168, 1.4114645719528198]","[1.1928491592407227, 1.2278332710266113, 1.2132982015609741, 1.3353394269943237]"
1440.0,2008-09-01T00:00:00.000000000,"[2.1595370769500732, 0.7734025120735168, 1.4114645719528198, 0.9494196176528931]","[1.4403599500656128, 1.4213603734970093, 1.453625202178955, 1.4686980247497559]"
1440.0,2008-12-01T00:00:00.000000000,"[0.7734025120735168, 1.4114645719528198, 0.9494196176528931, 1.7194944620132446]","[1.5809165239334106, 1.6019487380981445, 1.5974804162979126, 1.682490348815918]"
1440.0,2009-03-01T00:00:00.000000000,"[1.4114645719528198, 0.9494196176528931, 1.7194944620132446, 1.1694409847259521]","[1.0497310161590576, 1.0691428184509277, 1.132237195968628, 1.14569091796875]"
1440.0,2009-06-01T00:00:00.000000000,"[0.9494196176528931, 1.7194944620132446, 1.1694409847259521, 1.4114645719528198]","[1.2764561176300049, 1.3025709390640259, 1.2854487895965576, 1.3779172897338867]"
1440.0,2009-09-01T00:00:00.000000000,"[1.7194944620132446, 1.1694409847259521, 1.4114645719528198, 1.5214751958847046]","[1.2271485328674316, 1.090286135673523, 1.2115072011947632, 1.1849080324172974]"
1440.0,2009-12-01T00:00:00.000000000,"[1.1694409847259521, 1.4114645719528198, 1.5214751958847046, 2.071528673171997]","[1.2677751779556274, 1.3125855922698975, 1.287742257118225, 1.425217628479004]"
1440.0,2010-03-01T00:00:00.000000000,"[1.4114645719528198, 1.5214751958847046, 2.071528673171997, 0.8834132552146912]","[1.2270679473876953, 1.2418408393859863, 1.3187390565872192, 1.3319910764694214]"
1440.0,2010-06-01T00:00:00.000000000,"[1.5214751958847046, 2.071528673171997, 0.8834132552146912, 1.9175138473510742]","[1.399487853050232, 1.402992606163025, 1.3972156047821045, 1.4366836547851562]"
1440.0,2010-09-01T00:00:00.000000000,"[2.071528673171997, 0.8834132552146912, 1.9175138473510742, 1.499472975730896]","[1.5202693939208984, 1.5090388059616089, 1.527236819267273, 1.550341248512268]"
1440.0,2010-12-01T00:00:00.000000000,"[0.8834132552146912, 1.9175138473510742, 1.499472975730896, 2.5115716457366943]","[1.6911182403564453, 1.7166770696640015, 1.711679220199585, 1.8087493181228638]"
1440.0,2011-03-01T00:00:00.000000000,"[1.9175138473510742, 1.499472975730896, 2.5115716457366943, 0.6193875670433044]","[1.2421603202819824, 1.269803524017334, 1.3501511812210083, 1.3671023845672607]"
1440.0,2011-06-01T00:00:00.000000000,"[1.499472975730896, 2.5115716457366943, 0.6193875670433044, 1.5434772968292236]","[1.6585278511047363, 1.6807925701141357, 1.6824392080307007, 1.779975175857544]"
1440.0,2011-09-01T00:00:00.000000000,"[2.5115716457366943, 0.6193875670433044, 1.5434772968292236, 1.6754902601242065]","[1.66679847240448, 1.5906028747558594, 1.6420823335647583, 1.640390396118164]"
1440.0,2011-12-01T00:00:00.000000000,"[0.6193875670433044, 1.5434772968292236, 1.6754902601242065, 2.533573627471924]","[1.7594841718673706, 1.7953592538833618, 1.7791798114776611, 1.8862866163253784]"
1440.0,2012-03-01T00:00:00.000000000,"[1.5434772968292236, 1.6754902601242065, 2.533573627471924, 1.2134451866149902]","[1.109714150428772, 1.1559771299362183, 1.2467416524887085, 1.274051547050476]"
1440.0,2012-06-01T00:00:00.000000000,"[1.6754902601242065, 2.533573627471924, 1.2134451866149902, 1.8295050859451294]","[1.3999156951904297, 1.4513829946517944, 1.4276621341705322, 1.5894711017608643]"
