GVKEY,TGT_START,GROUND_TRUTH,PREDICTIONS
6066.0,2011-12-01T00:00:00.000000000,"[8.543513298034668, 2.758469343185425, 3.4438059329986572, 4.2500834465026855]","[5.77805233001709, 5.939444065093994, 6.022374153137207, 6.172027111053467]"
6066.0,2012-03-01T00:00:00.000000000,"[2.758469343185425, 3.4438059329986572, 4.2500834465026855, 3.222079038619995]","[5.837634563446045, 5.989931106567383, 6.064243793487549, 6.217861652374268]"
6066.0,2012-06-01T00:00:00.000000000,"[3.4438059329986572, 4.2500834465026855, 3.222079038619995, 2.617370843887329]","[5.262315273284912, 5.4591240882873535, 5.578551292419434, 5.739583969116211]"
6066.0,2012-09-01T00:00:00.000000000,"[4.2500834465026855, 3.222079038619995, 2.617370843887329, 3.746159791946411]","[5.080246925354004, 5.2896342277526855, 5.42043924331665, 5.585786819458008]"
6066.0,2012-12-01T00:00:00.000000000,"[3.222079038619995, 2.617370843887329, 3.746159791946411, 4.129141807556152]","[5.469860076904297, 5.646699905395508, 5.742310523986816, 5.906271934509277]"
6066.0,2013-03-01T00:00:00.000000000,"[2.617370843887329, 3.746159791946411, 4.129141807556152, 5.802168369293213]","[4.796245574951172, 5.015371322631836, 5.154694557189941, 5.323755741119385]"
6266.0,2006-06-01T00:00:00.000000000,"[2.395644187927246, 2.0731332302093506, 1.6095231771469116, 2.194074869155884]","[1.7852556705474854, 1.8200103044509888, 1.8297274112701416, 1.8387751579284668]"
6266.0,2006-09-01T00:00:00.000000000,"[2.0731332302093506, 1.6095231771469116, 2.194074869155884, 2.496429204940796]","[1.8946232795715332, 1.9331448078155518, 1.9438399076461792, 1.951886773109436]"
6266.0,2006-12-01T00:00:00.000000000,"[1.6095231771469116, 2.194074869155884, 2.496429204940796, 2.052976369857788]","[1.9430025815963745, 1.981884241104126, 1.9926905632019043, 2.000214099884033]"
6266.0,2007-03-01T00:00:00.000000000,"[2.194074869155884, 2.496429204940796, 2.052976369857788, 1.9521914720535278]","[1.8542873859405518, 1.8876185417175293, 1.896979808807373, 1.907405138015747]"
6266.0,2007-06-01T00:00:00.000000000,"[2.496429204940796, 2.052976369857788, 1.9521914720535278, 2.435957908630371]","[1.885712742805481, 1.9196357727050781, 1.9291971921920776, 1.9403417110443115]"
6266.0,2007-09-01T00:00:00.000000000,"[2.052976369857788, 1.9521914720535278, 2.435957908630371, 2.5569000244140625]","[1.9705549478530884, 2.0072293281555176, 2.017524242401123, 2.0284221172332764]"
6266.0,2007-12-01T00:00:00.000000000,"[1.9521914720535278, 2.435957908630371, 2.5569000244140625, 2.435957908630371]","[2.039215564727783, 2.0770304203033447, 2.0875802040100098, 2.0966145992279053]"
6266.0,2008-03-01T00:00:00.000000000,"[2.435957908630371, 2.5569000244140625, 2.435957908630371, 2.234388589859009]","[1.9846856594085693, 2.0180070400238037, 2.027310609817505, 2.0384583473205566]"
6266.0,2008-06-01T00:00:00.000000000,"[2.5569000244140625, 2.435957908630371, 2.234388589859009, 2.738312244415283]","[2.0380911827087402, 2.073530912399292, 2.083507537841797, 2.0950088500976562]"
6266.0,2008-09-01T00:00:00.000000000,"[2.435957908630371, 2.234388589859009, 2.738312244415283, 2.738312244415283]","[2.064302921295166, 2.100367546081543, 2.11055850982666, 2.1238815784454346]"
6266.0,2008-12-01T00:00:00.000000000,"[2.234388589859009, 2.738312244415283, 2.738312244415283, 2.879410982131958]","[2.1740853786468506, 2.2130863666534424, 2.224012851715088, 2.2347252368927]"
6266.0,2009-03-01T00:00:00.000000000,"[2.738312244415283, 2.738312244415283, 2.879410982131958, 2.5569000244140625]","[2.147512435913086, 2.183047294616699, 2.1929562091827393, 2.2051665782928467]"
6266.0,2009-06-01T00:00:00.000000000,"[2.738312244415283, 2.879410982131958, 2.5569000244140625, 3.2019221782684326]","[2.269014835357666, 2.3093008995056152, 2.3205513954162598, 2.330899953842163]"
6266.0,2009-09-01T00:00:00.000000000,"[2.879410982131958, 2.5569000244140625, 3.2019221782684326, 3.2825498580932617]","[2.3335764408111572, 2.3760478496551514, 2.38789963722229, 2.3985917568206787]"
6266.0,2009-12-01T00:00:00.000000000,"[2.5569000244140625, 3.2019221782684326, 3.2825498580932617, 3.18176531791687]","[2.4786787033081055, 2.525930404663086, 2.538992404937744, 2.547011613845825]"
6266.0,2010-03-01T00:00:00.000000000,"[3.2019221782684326, 3.2825498580932617, 3.18176531791687, 3.020509958267212]","[2.4444825649261475, 2.4883437156677246, 2.5005102157592773, 2.511014699935913]"
6266.0,2010-06-01T00:00:00.000000000,"[3.2825498580932617, 3.18176531791687, 3.020509958267212, 3.2825498580932617]","[2.549765110015869, 2.598029851913452, 2.611449718475342, 2.622250556945801]"
6266.0,2010-09-01T00:00:00.000000000,"[3.18176531791687, 3.020509958267212, 3.2825498580932617, 4.2500834465026855]","[2.6515448093414307, 2.703334093093872, 2.7177176475524902, 2.728820562362671]"
6266.0,2010-12-01T00:00:00.000000000,"[3.020509958267212, 3.2825498580932617, 4.2500834465026855, 3.322863817214966]","[2.827885627746582, 2.8851990699768066, 2.900954246520996, 2.9082746505737305]"
6266.0,2011-03-01T00:00:00.000000000,"[3.2825498580932617, 4.2500834465026855, 3.322863817214966, 2.839097023010254]","[2.783806800842285, 2.8378260135650635, 2.852809190750122, 2.8641457557678223]"
6266.0,2011-06-01T00:00:00.000000000,"[4.2500834465026855, 3.322863817214966, 2.839097023010254, 3.6856889724731445]","[2.8265397548675537, 2.881958484649658, 2.8973920345306396, 2.9106268882751465]"
6266.0,2011-09-01T00:00:00.000000000,"[3.322863817214966, 2.839097023010254, 3.6856889724731445, 2.4158010482788086]","[3.016329288482666, 3.080012798309326, 3.097703218460083, 3.1117849349975586]"
6266.0,2011-12-01T00:00:00.000000000,"[2.839097023010254, 3.6856889724731445, 2.4158010482788086, 3.4841196537017822]","[3.230555534362793, 3.300220012664795, 3.3193368911743164, 3.3272347450256348]"
6266.0,2012-03-01T00:00:00.000000000,"[3.6856889724731445, 2.4158010482788086, 3.4841196537017822, 2.79878306388855]","[3.101991653442383, 3.1645383834838867, 3.1818583011627197, 3.19572377204895]"
6266.0,2012-06-01T00:00:00.000000000,"[2.4158010482788086, 3.4841196537017822, 2.79878306388855, 4.270240306854248]","[3.106916904449463, 3.1694605350494385, 3.1868577003479004, 3.2048325538635254]"
6266.0,2012-09-01T00:00:00.000000000,"[3.4841196537017822, 2.79878306388855, 4.270240306854248, 4.048514366149902]","[3.109802007675171, 3.171306610107422, 3.188551664352417, 3.2064313888549805]"
6266.0,2012-12-01T00:00:00.000000000,"[2.79878306388855, 4.270240306854248, 4.048514366149902, 4.2903971672058105]","[3.3619463443756104, 3.4301917552948, 3.4489920139312744, 3.4588403701782227]"
6266.0,2013-03-01T00:00:00.000000000,"[4.270240306854248, 4.048514366149902, 4.2903971672058105, 3.3430211544036865]","[3.2359366416931152, 3.2973899841308594, 3.314545154571533, 3.3297462463378906]"
7154.0,2006-06-01T00:00:00.000000000,"[1.8715635538101196, 1.7909358739852905, 1.3273259401321411, 1.0854425430297852]","[1.8209774494171143, 1.8807158470153809, 1.8973479270935059, 1.9108766317367554]"
7154.0,2006-09-01T00:00:00.000000000,"[1.7909358739852905, 1.3273259401321411, 1.0854425430297852, 1.6498371362686157]","[1.8546868562698364, 1.9125728607177734, 1.928682565689087, 1.9416649341583252]"
7154.0,2006-12-01T00:00:00.000000000,"[1.3273259401321411, 1.0854425430297852, 1.6498371362686157, 1.8715635538101196]","[1.8985207080841064, 1.955731987953186, 1.9716300964355469, 1.9837818145751953]"
7154.0,2007-03-01T00:00:00.000000000,"[1.0854425430297852, 1.6498371362686157, 1.8715635538101196, 1.6901509761810303]","[1.8775913715362549, 1.9310674667358398, 1.9459599256515503, 1.9582310914993286]"
7154.0,2007-06-01T00:00:00.000000000,"[1.6498371362686157, 1.8715635538101196, 1.6901509761810303, 1.5288954973220825]","[1.7219417095184326, 1.767451524734497, 1.780381679534912, 1.7980406284332275]"
7154.0,2007-09-01T00:00:00.000000000,"[1.8715635538101196, 1.6901509761810303, 1.5288954973220825, 1.9723484516143799]","[1.789093017578125, 1.8347111940383911, 1.8475794792175293, 1.8627008199691772]"
7154.0,2007-12-01T00:00:00.000000000,"[1.6901509761810303, 1.5288954973220825, 1.9723484516143799, 2.315016269683838]","[1.821936845779419, 1.8665646314620972, 1.8791451454162598, 1.8936710357666016]"
7154.0,2008-03-01T00:00:00.000000000,"[1.5288954973220825, 1.9723484516143799, 2.315016269683838, 1.9320343732833862]","[1.8526718616485596, 1.8953571319580078, 1.907353162765503, 1.920194149017334]"
7154.0,2008-06-01T00:00:00.000000000,"[1.9723484516143799, 2.315016269683838, 1.9320343732833862, 2.012662410736084]","[1.8073086738586426, 1.8454256057739258, 1.8562209606170654, 1.8699951171875]"
7154.0,2008-09-01T00:00:00.000000000,"[2.315016269683838, 1.9320343732833862, 2.012662410736084, 2.5367431640625]","[1.909326195716858, 1.9483071565628052, 1.9591941833496094, 1.9690371751785278]"
7154.0,2008-12-01T00:00:00.000000000,"[1.9320343732833862, 2.012662410736084, 2.5367431640625, 2.5972137451171875]","[1.9396133422851562, 1.9784337282180786, 1.9893132448196411, 2.000115156173706]"
7154.0,2009-03-01T00:00:00.000000000,"[2.012662410736084, 2.5367431640625, 2.5972137451171875, 2.496429204940796]","[1.961354374885559, 1.9980911016464233, 2.0083651542663574, 2.0180344581604004]"
7154.0,2009-06-01T00:00:00.000000000,"[2.5367431640625, 2.5972137451171875, 2.496429204940796, 2.657684564590454]","[1.9390242099761963, 1.9727795124053955, 1.9822906255722046, 1.9931644201278687]"
7154.0,2009-09-01T00:00:00.000000000,"[2.5972137451171875, 2.496429204940796, 2.657684564590454, 3.060823678970337]","[2.0574543476104736, 2.094569206237793, 2.1049184799194336, 2.113821029663086]"
7154.0,2009-12-01T00:00:00.000000000,"[2.496429204940796, 2.657684564590454, 3.060823678970337, 3.2825498580932617]","[2.156500816345215, 2.1968932151794434, 2.2080981731414795, 2.2161636352539062]"
7154.0,2010-03-01T00:00:00.000000000,"[2.657684564590454, 3.060823678970337, 3.2825498580932617, 3.020509958267212]","[2.2142014503479004, 2.254769802093506, 2.266002655029297, 2.273427963256836]"
7154.0,2010-06-01T00:00:00.000000000,"[3.060823678970337, 3.2825498580932617, 3.020509958267212, 2.6375277042388916]","[2.262603521347046, 2.30275821685791, 2.313878059387207, 2.3212122917175293]"
7154.0,2010-09-01T00:00:00.000000000,"[3.2825498580932617, 3.020509958267212, 2.6375277042388916, 3.18176531791687]","[2.3455100059509277, 2.3883895874023438, 2.4002883434295654, 2.4088528156280518]"
7154.0,2010-12-01T00:00:00.000000000,"[3.020509958267212, 2.6375277042388916, 3.18176531791687, 3.3027069568634033]","[2.409865379333496, 2.4562153816223145, 2.469156265258789, 2.4810709953308105]"
