GVKEY,TGT_START,GROUND_TRUTH,PREDICTIONS
24617.0,2008-06-01T00:00:00.000000000,"[0.7366588711738586, 0.8101460337638855, 0.5166375637054443, 0.4726331830024719]","[0.6871921420097351, 0.6180258393287659, 0.3839716911315918, 0.2602793574333191]"
24617.0,2008-09-01T00:00:00.000000000,"[0.8101460337638855, 0.5166375637054443, 0.4726331830024719, 1.0446888208389282]","[0.8305759429931641, 0.5050541758537292, 0.4160608947277069, 0.6713603138923645]"
24617.0,2008-12-01T00:00:00.000000000,"[0.5166375637054443, 0.4726331830024719, 1.0446888208389282, 1.1181758642196655]","[0.6520259380340576, 0.565196692943573, 0.7132110595703125, 0.7697969079017639]"
24617.0,2009-03-01T00:00:00.000000000,"[0.4726331830024719, 1.0446888208389282, 1.1181758642196655, 1.0446888208389282]","[0.4227507412433624, 0.7596544623374939, 0.9044545292854309, 0.5462847352027893]"
24617.0,2009-06-01T00:00:00.000000000,"[1.0446888208389282, 1.1181758642196655, 1.0446888208389282, 1.2501888275146484]","[0.749244213104248, 0.7048676013946533, 0.5562824606895447, 0.4718347191810608]"
24617.0,2009-09-01T00:00:00.000000000,"[1.1181758642196655, 1.0446888208389282, 1.2501888275146484, 2.21828293800354]","[1.0403269529342651, 0.7330562472343445, 0.6730000972747803, 0.8656976222991943]"
24617.0,2009-12-01T00:00:00.000000000,"[1.0446888208389282, 1.2501888275146484, 2.21828293800354, 2.4088215827941895]","[0.8622047305107117, 0.856844961643219, 0.9972425699234009, 0.993394672870636]"
24617.0,2010-03-01T00:00:00.000000000,"[1.2501888275146484, 2.21828293800354, 2.4088215827941895, 2.1595370769500732]","[0.7610510587692261, 1.1465134620666504, 1.1828410625457764, 0.9329586029052734]"
24617.0,2010-06-01T00:00:00.000000000,"[2.21828293800354, 2.4088215827941895, 2.1595370769500732, 1.7047529220581055]","[1.2649770975112915, 1.1693114042282104, 1.035578727722168, 0.9932342767715454]"
24617.0,2010-09-01T00:00:00.000000000,"[2.4088215827941895, 2.1595370769500732, 1.7047529220581055, 2.4675674438476562]","[1.732215166091919, 1.3834456205368042, 1.3119550943374634, 1.6282731294631958]"
24617.0,2010-12-01T00:00:00.000000000,"[2.1595370769500732, 1.7047529220581055, 2.4675674438476562, 2.3062915802001953]","[1.5377726554870605, 1.5101268291473389, 1.752285361289978, 1.8007878065109253]"
24617.0,2011-03-01T00:00:00.000000000,"[1.7047529220581055, 2.4675674438476562, 2.3062915802001953, 1.9395159482955933]","[1.3784784078598022, 1.7519358396530151, 1.9378279447555542, 1.5993740558624268]"
24617.0,2011-06-01T00:00:00.000000000,"[2.4675674438476562, 2.3062915802001953, 1.9395159482955933, 1.8735092878341675]","[1.8353397846221924, 1.662611722946167, 1.420365333557129, 1.3622711896896362]"
24617.0,2011-09-01T00:00:00.000000000,"[2.3062915802001953, 1.9395159482955933, 1.8735092878341675, 2.0495264530181885]","[2.3349974155426025, 1.800638198852539, 1.6913549900054932, 2.1277849674224854]"
24617.0,2011-12-01T00:00:00.000000000,"[1.9395159482955933, 1.8735092878341675, 2.0495264530181885, 3.0616250038146973]","[1.9114294052124023, 1.6809196472167969, 1.991948127746582, 2.0858399868011475]"
24617.0,2012-03-01T00:00:00.000000000,"[1.8735092878341675, 2.0495264530181885, 3.0616250038146973, 2.8416035175323486]","[1.625485897064209, 2.023951292037964, 2.219076633453369, 1.7781355381011963]"
24617.0,2012-06-01T00:00:00.000000000,"[2.0495264530181885, 3.0616250038146973, 2.8416035175323486, 3.0396230220794678]","[2.3423776626586914, 2.1732735633850098, 1.848397970199585, 1.6980259418487549]"
24617.0,2012-09-01T00:00:00.000000000,"[3.0616250038146973, 2.8416035175323486, 3.0396230220794678, 4.381753444671631]","[2.400071859359741, 1.9310327768325806, 1.8066372871398926, 2.192188024520874]"
24617.0,2012-12-01T00:00:00.000000000,"[2.8416035175323486, 3.0396230220794678, 4.381753444671631, 4.733787536621094]","[2.441302537918091, 2.29636549949646, 2.516010284423828, 2.6667237281799316]"
24617.0,2013-03-01T00:00:00.000000000,"[3.0396230220794678, 4.381753444671631, 4.733787536621094, 4.601775169372559]","[2.288299083709717, 2.8111367225646973, 3.1425976753234863, 2.474696636199951]"
24856.0,2006-06-01T00:00:00.000000000,"[4.491764068603516, 3.8096976280212402, 4.645779132843018, 5.76788854598999]","[1.1752238273620605, 1.1260701417922974, 1.1444875001907349, 1.3508604764938354]"
24856.0,2006-09-01T00:00:00.000000000,"[3.8096976280212402, 4.645779132843018, 5.76788854598999, 6.229933261871338]","[1.9822622537612915, 1.9997398853302002, 1.8846851587295532, 1.964996576309204]"
24856.0,2006-12-01T00:00:00.000000000,"[4.645779132843018, 5.76788854598999, 6.229933261871338, 6.38394832611084]","[1.9000564813613892, 2.1372342109680176, 2.0527877807617188, 1.5224735736846924]"
24856.0,2007-03-01T00:00:00.000000000,"[5.76788854598999, 6.229933261871338, 6.38394832611084, 6.603969573974609]","[2.7365777492523193, 2.6129603385925293, 2.1333253383636475, 1.987130880355835]"
24856.0,2007-06-01T00:00:00.000000000,"[6.229933261871338, 6.38394832611084, 6.603969573974609, 5.965907573699951]","[3.8098082542419434, 3.1384940147399902, 2.8783345222473145, 3.0493764877319336]"
24856.0,2007-09-01T00:00:00.000000000,"[6.38394832611084, 6.603969573974609, 5.965907573699951, 6.075918197631836]","[4.165378570556641, 3.8902390003204346, 3.7166199684143066, 3.666699171066284]"
24856.0,2007-12-01T00:00:00.000000000,"[6.603969573974609, 5.965907573699951, 6.075918197631836, 5.349847793579102]","[4.619401931762695, 4.460834980010986, 4.119279861450195, 3.6781692504882812]"
24856.0,2008-03-01T00:00:00.000000000,"[5.965907573699951, 6.075918197631836, 5.349847793579102, 5.239837169647217]","[5.343741416931152, 4.7634358406066895, 4.2054643630981445, 4.067296028137207]"
24856.0,2008-06-01T00:00:00.000000000,"[6.075918197631836, 5.349847793579102, 5.239837169647217, 4.20573616027832]","[5.351378917694092, 4.341253757476807, 4.238555431365967, 4.4593377113342285]"
24856.0,2008-09-01T00:00:00.000000000,"[5.349847793579102, 5.239837169647217, 4.20573616027832, 4.931806564331055]","[5.559682369232178, 4.9122114181518555, 4.893298149108887, 5.122544288635254]"
24856.0,2008-12-01T00:00:00.000000000,"[5.239837169647217, 4.20573616027832, 4.931806564331055, 4.2937445640563965]","[5.530158042907715, 5.031595230102539, 4.966832160949707, 4.866990089416504]"
24856.0,2009-03-01T00:00:00.000000000,"[4.20573616027832, 4.931806564331055, 4.2937445640563965, 3.21563982963562]","[5.822552680969238, 5.263592720031738, 4.882164001464844, 5.067753791809082]"
24856.0,2009-06-01T00:00:00.000000000,"[4.931806564331055, 4.2937445640563965, 3.21563982963562, 2.5555758476257324]","[5.314695835113525, 4.585272789001465, 4.519535064697266, 4.881731033325195]"
24856.0,2009-09-01T00:00:00.000000000,"[4.2937445640563965, 3.21563982963562, 2.5555758476257324, 3.5016677379608154]","[5.392220497131348, 5.231976509094238, 5.152713775634766, 5.504477500915527]"
