GVKEY,TGT_START,GROUND_TRUTH,PREDICTIONS
143421.0,2006-06-01T00:00:00.000000000,"[-1.1116399765014648, -0.9396666288375854, -0.807379424571991, -1.1513261795043945]","[-0.6102843284606934, -0.6162209510803223, -0.5622297525405884, -0.566089928150177]"
143421.0,2006-09-01T00:00:00.000000000,"[-0.9396666288375854, -0.807379424571991, -1.1513261795043945, -1.1777836084365845]","[-0.6096982359886169, -0.6288284063339233, -0.5765453577041626, -0.6701464653015137]"
143912.0,2007-06-01T00:00:00.000000000,"[-0.3046879768371582, -0.15917201340198517, -0.33114543557167053, -0.21208690106868744]","[-0.4046787917613983, -0.40484872460365295, -0.40421631932258606, -0.41260138154029846]"
143912.0,2007-09-01T00:00:00.000000000,"[-0.15917201340198517, -0.33114543557167053, -0.21208690106868744, -0.37083154916763306]","[-0.3751806318759918, -0.37681227922439575, -0.3715117275714874, -0.36905086040496826]"
143912.0,2008-03-01T00:00:00.000000000,"[-0.33114543557167053, -0.21208690106868744, -0.37083154916763306, -0.19885818660259247]","[-0.32698285579681396, -0.331088662147522, -0.32772108912467957, -0.33983150124549866]"
143912.0,2008-06-01T00:00:00.000000000,"[-0.21208690106868744, -0.37083154916763306, -0.19885818660259247, -0.29145923256874084]","[-0.3399030566215515, -0.3301732540130615, -0.34155532717704773, -0.3760073184967041]"
143912.0,2008-09-01T00:00:00.000000000,"[-0.37083154916763306, -0.19885818660259247, -0.29145923256874084, -0.1062571182847023]","[-0.25986939668655396, -0.28107181191444397, -0.32971900701522827, -0.3647195100784302]"
143912.0,2009-03-01T00:00:00.000000000,"[-0.19885818660259247, -0.29145923256874084, -0.1062571182847023, 0.06571626663208008]","[-0.3499506115913391, -0.4029884934425354, -0.42876067757606506, -0.428428053855896]"
143912.0,2009-06-01T00:00:00.000000000,"[-0.29145923256874084, -0.1062571182847023, 0.06571626663208008, 0.052487555891275406]","[-0.29156744480133057, -0.317441463470459, -0.3310517966747284, -0.3449532687664032]"
143912.0,2009-09-01T00:00:00.000000000,"[-0.1062571182847023, 0.06571626663208008, 0.052487555891275406, -0.48989006876945496]","[-0.31609851121902466, -0.3410879075527191, -0.35282406210899353, -0.4059959650039673]"
143912.0,2009-12-01T00:00:00.000000000,"[0.06571626663208008, 0.052487555891275406, -0.48989006876945496, 0.052487555891275406]","[-0.23384489119052887, -0.25636380910873413, -0.3010541498661041, -0.3386516273021698]"
143912.0,2010-03-01T00:00:00.000000000,"[0.052487555891275406, -0.48989006876945496, 0.052487555891275406, 0.8462108373641968]","[-0.1053953766822815, -0.18396927416324615, -0.23744678497314453, -0.2604587972164154]"
143912.0,2010-06-01T00:00:00.000000000,"[-0.48989006876945496, 0.052487555891275406, 0.8462108373641968, -0.0665709525346756]","[-0.11305807530879974, -0.1584949493408203, -0.17438532412052155, -0.23546594381332397]"
143912.0,2010-09-01T00:00:00.000000000,"[0.052487555891275406, 0.8462108373641968, -0.0665709525346756, 0.026030095294117928]","[-0.4003433287143707, -0.3839452564716339, -0.38541755080223083, -0.4686335325241089]"
143912.0,2010-12-01T00:00:00.000000000,"[0.8462108373641968, -0.0665709525346756, 0.026030095294117928, 1.071099042892456]","[-0.05674049258232117, -0.15927782654762268, -0.2125733643770218, -0.23571184277534485]"
143912.0,2011-03-01T00:00:00.000000000,"[-0.0665709525346756, 0.026030095294117928, 1.071099042892456, 0.1318598985671997]","[0.350269615650177, 0.17014852166175842, 0.1318611204624176, 0.042975276708602905]"
143974.0,2006-06-01T00:00:00.000000000,"[3.359668493270874, 4.113705635070801, 4.087247848510742, 4.351822376251221]","[2.635165214538574, 2.320756673812866, 2.1118927001953125, 1.7826662063598633]"
143974.0,2006-09-01T00:00:00.000000000,"[4.113705635070801, 4.087247848510742, 4.351822376251221, 3.9152746200561523]","[3.007244110107422, 2.5492615699768066, 2.2111172676086426, 1.7489160299301147]"
143974.0,2006-12-01T00:00:00.000000000,"[4.087247848510742, 4.351822376251221, 3.9152746200561523, 4.748683929443359]","[3.089679002761841, 2.7952775955200195, 2.586106777191162, 2.170083999633789]"
143974.0,2007-03-01T00:00:00.000000000,"[4.351822376251221, 3.9152746200561523, 4.748683929443359, 4.9868011474609375]","[3.4575538635253906, 2.9559597969055176, 2.5541164875030518, 2.011357069015503]"
143974.0,2007-06-01T00:00:00.000000000,"[3.9152746200561523, 4.748683929443359, 4.9868011474609375, 4.60316801071167]","[3.440007448196411, 3.0469117164611816, 2.770392894744873, 2.2959423065185547]"
143974.0,2007-09-01T00:00:00.000000000,"[4.748683929443359, 4.9868011474609375, 4.60316801071167, 4.39150857925415]","[3.6986658573150635, 3.136362314224243, 2.7297139167785645, 2.1310768127441406]"
143974.0,2007-12-01T00:00:00.000000000,"[4.9868011474609375, 4.60316801071167, 4.39150857925415, 5.793752670288086]","[3.757704019546509, 3.3437952995300293, 3.0624148845672607, 2.5804896354675293]"
143974.0,2008-03-01T00:00:00.000000000,"[4.60316801071167, 4.39150857925415, 5.793752670288086, 5.701152324676514]","[4.274923324584961, 3.6585488319396973, 3.175933599472046, 2.5572783946990967]"
143974.0,2008-06-01T00:00:00.000000000,"[4.39150857925415, 5.793752670288086, 5.701152324676514, 4.695769309997559]","[3.9671969413757324, 3.4951014518737793, 3.170219659805298, 2.474663734436035]"
143974.0,2008-09-01T00:00:00.000000000,"[5.793752670288086, 5.701152324676514, 4.695769309997559, 4.60316801071167]","[4.3290486335754395, 3.6358773708343506, 3.1313796043395996, 2.4073193073272705]"
143974.0,2008-12-01T00:00:00.000000000,"[5.701152324676514, 4.695769309997559, 4.60316801071167, 6.600705146789551]","[4.569004535675049, 4.017965793609619, 3.635615348815918, 3.1635987758636475]"
