GVKEY,TGT_START,GROUND_TRUTH,PREDICTIONS
1300.0,2008-12-01T00:00:00.000000000,"[3.127631425857544, 2.9516141414642334, 3.259644031524658, 3.1496336460113525]","[2.9329006671905518, 2.490487575531006, 2.4751856327056885, 2.616154670715332]"
1300.0,2009-03-01T00:00:00.000000000,"[2.9516141414642334, 3.259644031524658, 3.1496336460113525, 3.369654893875122]","[2.628300189971924, 2.7502923011779785, 2.680468797683716, 2.7580180168151855]"
1300.0,2009-06-01T00:00:00.000000000,"[3.259644031524658, 3.1496336460113525, 3.369654893875122, 3.5896763801574707]","[2.836580753326416, 2.8974671363830566, 2.9460854530334473, 2.730022668838501]"
1300.0,2009-09-01T00:00:00.000000000,"[3.1496336460113525, 3.369654893875122, 3.5896763801574707, 3.8096976280212402]","[3.2268905639648438, 3.0246944427490234, 2.8290979862213135, 2.8429670333862305]"
1300.0,2009-12-01T00:00:00.000000000,"[3.369654893875122, 3.5896763801574707, 3.8096976280212402, 3.765693426132202]","[3.376051664352417, 2.8770358562469482, 2.9611663818359375, 3.080784797668457]"
1300.0,2010-03-01T00:00:00.000000000,"[3.5896763801574707, 3.8096976280212402, 3.765693426132202, 3.5016677379608154]","[3.006977081298828, 3.1415820121765137, 3.138521671295166, 3.1788864135742188]"
1300.0,2010-06-01T00:00:00.000000000,"[3.8096976280212402, 3.765693426132202, 3.5016677379608154, 3.523669719696045]","[3.2404425144195557, 3.361726760864258, 3.3419392108917236, 3.2311291694641113]"
1300.0,2010-09-01T00:00:00.000000000,"[3.765693426132202, 3.5016677379608154, 3.523669719696045, 3.919708251953125]","[3.550447463989258, 3.5148847103118896, 3.385439872741699, 3.4491448402404785]"
1300.0,2010-12-01T00:00:00.000000000,"[3.5016677379608154, 3.523669719696045, 3.919708251953125, 3.875704050064087]","[3.6688880920410156, 3.5245885848999023, 3.472440242767334, 3.5258278846740723]"
1300.0,2011-03-01T00:00:00.000000000,"[3.523669719696045, 3.919708251953125, 3.875704050064087, 3.831699848175049]","[3.376429557800293, 3.530729293823242, 3.4276857376098633, 3.446835517883301]"
1300.0,2011-06-01T00:00:00.000000000,"[3.919708251953125, 3.875704050064087, 3.831699848175049, 4.161732196807861]","[3.481865406036377, 3.5752906799316406, 3.493903398513794, 3.4881882667541504]"
1300.0,2011-09-01T00:00:00.000000000,"[3.875704050064087, 3.831699848175049, 4.161732196807861, 2.071528673171997]","[3.6125333309173584, 3.686875343322754, 3.6464171409606934, 3.72931170463562]"
1300.0,2011-12-01T00:00:00.000000000,"[3.831699848175049, 4.161732196807861, 2.071528673171997, 2.7315926551818848]","[3.684293270111084, 3.703366994857788, 3.8230273723602295, 3.7759132385253906]"
1300.0,2012-03-01T00:00:00.000000000,"[4.161732196807861, 2.071528673171997, 2.7315926551818848, 3.8537018299102783]","[3.6430258750915527, 3.804591417312622, 3.871561050415039, 3.6975932121276855]"
1300.0,2012-06-01T00:00:00.000000000,"[2.071528673171997, 2.7315926551818848, 3.8537018299102783, 3.523669719696045]","[4.147406101226807, 4.016997337341309, 3.9495084285736084, 4.030074119567871]"
1300.0,2012-09-01T00:00:00.000000000,"[2.7315926551818848, 3.8537018299102783, 3.523669719696045, 3.7436912059783936]","[3.432680368423462, 3.1638054847717285, 3.370621681213379, 3.2017219066619873]"
1300.0,2012-12-01T00:00:00.000000000,"[3.8537018299102783, 3.523669719696045, 3.7436912059783936, 3.7436912059783936]","[3.31130313873291, 3.183750867843628, 3.3627572059631348, 3.4454398155212402]"
1300.0,2013-03-01T00:00:00.000000000,"[3.523669719696045, 3.7436912059783936, 3.7436912059783936, 3.8977060317993164]","[3.726072072982788, 3.663268566131592, 3.7454586029052734, 3.852668285369873]"
